image_path,text,label
data\fakeV2\fake-v2\12912.jpg,They called it progress. Now it’s just dust and the ghosts of giants staring back. #Dystopia,0
data\fakeV2\fake-v2\13538.png,"Horse on balcony: ""Juan"" is just a typo for me. My name’s spelled wrong but my vibe’s right. 😂 #HorseLife",0
data\fakeV2\fake-v2\10767.jpg,"Neon hums low, thoughts drift. Calm in the city’s glow. #citynight",0
data\fakeV2\fake-v2\13115.png,"Fist raised, compass pointed. I’m not following a map—I’m drawing mine. #MyNorth",0
data\fakeV2\fake-v2\12171.jpg,Bugs Bunny’s grin: the ultimate game plan. #Cartoon,0
data\archive\real\1063629313235345408.jpg,Stares in Australian],1
data\archive\real\1107920923213119488.jpg,Build Bridges not Walls,1
data\fakeV2\fake-v2\10506.jpg,Roots twist into a smile. The jungle’s secret is always laughing. #JungleMagic,0
data\fakeV2\fake-v2\138.jpg,"T-Rex charging, truck swerving—suddenly, I’m the one holding the gun. #Survival",0
data\fakeV2\fake-v2\12748.jpg,"Time’s a thief. You’re dressed for the final act. 70 years, and still counting down. #SciFi",0
data\real_fake\real\2115.jpg,Standing here with the building. We’re both waiting for something. #CityQuiet,1
data\archive\real\1107399575206285312.jpg,"LOOK AT MYMAFRICAN- AMERICAN OVER HERE e 88022 Reddi ng, Califor n!",1
data\archive\real\1044032214307151872.jpg,% 16%1.0. Sprint 9:13 PM XXX ROD @trapyrod75 9:10 PM Same 9:11 PM Middleman? 9:11 PM Naw epic only or u go first 9:13 PM Then don't hit my fucking dms#was DMs it said I'm not goin first 9:13 PM Peace scammer Lol 9:13 PM Lmao ok Start a message GIF,1
data\archive\real\1108369402012073984.jpg,ION REPORT SUMUARY UEOALS WL CONTROL ARSENAL 3 99gsadogh O Ghrams 205 813169 | 2858 7 26 2758 9 3 2458 6 22 2250 25 Apohstie Perrlo EKIA DEATHS 19 21 ENEA ⓧ000KMARK GAME FILM,1
data\real_fake\real\1671.jpg,"Small hands reaching for safety, big hands holding tight. Sometimes the world’s softest moments are the quietest ones. #EverydayMoments",1
data\archive\real\1114383106994257921.jpg,SQUADS LEFT 32 97 sarjrl100FP2958 82:2 datcrist co 968,1
data\real_fake\real\2020.jpg,Bamboo holds the brush. Inkstone holds the stillness. #QuietMomentum,1
data\archive\real\1113966186255900672.jpg,AN WL 26457434E 112,1
data\real_fake\real\5vldoo719x5a1.jpg,"Stars crown my head, wings bleed red. Not a king—just a dreamer burning out. #Stardust",1
data\real_fake\real\2952.jpg,"Sunlight on stone, water holding its breath. Desert calm, deep and quiet. #Peace",1
data\archive\real\1113959650116952064.jpg,8:09 cash addict 19h That weak ass slap OSend message,1
data\fakeV2\fake-v2\10172.jpg,"Retro space dreams, soft and warm. Two hearts reaching for the same stars—never lost.",0
data\fakeV2\fake-v2\11956.jpg,"Glass over the eye, sea in the distance. Quiet days feel like the world’s softest whisper. 🌊",0
data\fakeV2\fake-v2\11391.jpg,"Blood-red sun, sword raised—history’s pulse in every splatter. #SamuraiSoul",0
data\real_fake\real\72.jpg,"Yellow bursts, blue holds. Chaos isn’t loud—it’s alive.",1
data\archive\real\1108574132533288963.jpg,When a nigga with Black Air Forces walks in the room 8,1
data\real_fake\real\1852.jpg,"Coffee break vibes. Good company, bad jokes, and that one person who *always* has the best snacks. #RealLife",0
data\archive\real\1106580019936182273.jpg,Whatdlid voui say?,1
data\fakeV2\fake-v2\10395.jpg,"Gears hum low, lace whispers soft. Steampunk dreams linger in the rust. #Steampunk #Timeless",0
data\fakeV2\fake-v2\13700.png,Neon veins pulse through the dark. Light isn't just color—it's a pulse that remembers. #glow #silent,0
data\fakeV2\fake-v2\11551.jpg,A whisper to the deep. A grandmother’s kiss on a giant fish. #quietlove,0
data\archive\real\1117662388155604995.jpg,GOODNIGHT!,1
data\real_fake\real\1277.jpg,"Silence in the frame. A quiet dignity, stitched in crimson. #Portrait #History",0
data\real_fake\real\o7okj2ihf06a1.jpg,"Horns curve, wings spread. Skull staff hums the silence between light and dark. 🌙 #Myth",0
data\fakeV2\fake-v2\11047.jpg,"Red and black whisper confidence. One step, a quiet revolution. #Sneaker",0
data\real_fake\real\qvoi8azvhb6a1.jpg,Wolves watch. Bird flies. Trees frame the wild’s breath. Quiet magic in the dark—always home here.,1
data\fakeV2\fake-v2\10432.jpg,"Sharp suit, quiet confidence. Golden Globes glow. #RedCarpet",0
data\fakeV2\fake-v2\13639.png,"Two eyes wide open, one world too big. Gollum’s never seen the light. #LOTR #Gollum",0
data\archive\real\1110414126956859392.jpg,The greatness of a man's power is the measure of his surrender. (William Booth) izquotes.com,1
data\real_fake\real\2029.jpg,"Dragonfly’s slow flight. Green blur, no rush. #nature",0
data\real_fake\real\2292.jpg,"Morning light on my face, coffee still warm. Just me and the quiet before the day starts. #quietmoments",0
data\archive\real\1058911342210486272.jpg,"WE HAVEA CARAVAN TOO @foramerica U, S, AIR FORC",1
data\archive\real\1107309005817499648.jpg,EGGBOV,1
data\fakeV2\fake-v2\14029.png,"Steam rises, stories linger. This cup’s not just tea—it’s a moment held. #CulturalMuse",0
data\archive\real\1107440694476435456.jpg,NEW EDITION'S Rity,1
data\real_fake\real\1800.jpg,"Another commute, same sky. Sometimes the quiet hum of steel and green feels like home. #dailyride",1
data\real_fake\real\1401.jpg,"Sun paints the field gold, mountains hold their breath. Just you and the wind in your pocket. #VanGogh #Serenity",0
data\real_fake\real\852.jpg,"Morning light on the hills. Town below, sea beyond. Just breathe. #MorningView #Serenity",0
data\archive\real\1062906458323468290.jpg,Go Further,1
data\real_fake\real\1yuot30nbf6a1.jpg,Halos don’t save us. Hands reach from the dark for the heart we can’t keep. We’re all just organs in the void.,0
data\fakeV2\fake-v2\14181.png,Tiny monster with a camera—still taking pics like it’s the 90s. #CityLife,0
data\fakeV2\fake-v2\12788.jpg,"Red splatter, green fragments—summer’s wild heartbeat. 🍉 #Watermelon",0
data\real_fake\real\1087.jpg,Caught my attention mid-sentence—total eye contact chaos. 😂 #TVMoments,1
data\archive\real\1108478101774843906.jpg,Race Card A TOOL OF THE INTELLECTUALLY WEAK AND LAZY WHEN THEY CANNOT COUNTER A LOGICAL ARGUMENT OR FACTUAL DATA,1
data\fakeV2\fake-v2\13906.png,Neon carves rituals into the night. The bar breathes ancient prayers in electric light. #sacredlight #neonritual,0
data\fakeV2\fake-v2\13036.jpg,"Red light pulses, steady and fierce. This armor isn't steel—it's the quiet fire I carry inside. #FutureHeart",0
data\real_fake\real\2810.jpg,"Real food, real joy. 😌",1
data\fakeV2\fake-v2\13882.png,"A crown of petals, a quiet hum. The lyre holds what time cannot steal. #Echoes",0
data\archive\real\1107852584738537473.jpg,Lcan't stop.,1
data\fakeV2\fake-v2\1076.jpg,"In a city of steel and silence, translation is the echo we never hear. #LostInTranslation",0
data\fakeV2\fake-v2\10889.jpg,Crowd held breath. History isn’t pages—it’s the weight of eyes fixed on one truth. #History,0
data\archive\real\1061878508861952001.jpg,BIBIC,1
data\real_fake\real\1077.jpg,Soft light spills over still forms. Some dreams linger long after the clock’s gone quiet. #Dreams,0
data\fakeV2\fake-v2\13407.png,"Coffee in hand, train lights above. Letting the city’s hum be my soundtrack.",0
data\archive\real\1054075433656958977.jpg,SprintHALFTIME REPOR HALFTIME,1
data\archive\real\1114729216438931457.jpg,FOX 35 MORON,1
data\archive\real\1042523615961468928.jpg,Shut,1
data\archive\real\1108513212994125825.jpg,"7:35 dailymail.co.uk Daily Mail.com Hunter's mistress has given her married boyfriend several ultimatums, insisting he leave Williams so they can settle down and start a family together, according to a source...",1
data\fakeV2\fake-v2\14773.png,"Giant bird, sky backdrop. Just… chillin’. #NatureMagic",0
data\archive\real\1113986402516000768.jpg,A ERAFTED,1
data\archive\real\1108369703037227011.jpg,"Boost 03 AM 召 YB Tayzo YB Tayzo @TayzoOG 165 Following 328 Followers Followed by HBK Zuepys *, xKhrls .,, and 8 others @TayzooG blocked you You are blocked from following @TayzoOG and viewing @TayzoOG's Tweets.",1
data\fakeV2\fake-v2\14243.png,"Glass curves cradle the city’s breath. Tomorrow’s architecture, today’s dream. #UrbanDreams",0
data\fakeV2\fake-v2\11235.jpg,"Faces drip, silent in the dark. They remember every name we forgot.",0
data\fakeV2\fake-v2\10648.jpg,"Under the nebula’s blush, I am both lost and found. The universe doesn’t whisper—it glows.",0
data\archive\real\1107813166443085825.jpg,ATL 10 NO 31 4th 6:57 40 4th Down,1
data\fakeV2\fake-v2\11981.jpg,"Stars tangled in my hair, city lights a soft hum. I’m home where the sky doesn’t fade. #Night",0
data\archive\real\1113451362644242434.jpg,SISLOVESCOM,1
data\fakeV2\fake-v2\11819.jpg,"Color doesn’t wait for rules. It spills, it swallows, it sings. This is how we feel free. #Art",0
data\archive\real\1116438483474755590.jpg,too damn much,1
data\fakeV2\fake-v2\1042.jpg,Stone pillars face the northern lights. Winter’s quiet—time’s breath is ice. #Aurora #Ancient,0
data\fakeV2\fake-v2\11189.jpg,Dust on the bones. The chair is all that's left. #Reekliner,0
data\archive\real\1110022620504883201.jpg,MMMMMH... BACK TO MY REGULARLY SCHEDULED PROGRAM,1
data\real_fake\real\203.jpg,"Morning fog, river whispers. City’s slow morning breath. #CityMood",0
data\fakeV2\fake-v2\13281.png,Tiny worlds hold big joy—build your own ocean in the quiet hours. 🌊 #TinyWonders,0
data\fakeV2\fake-v2\10359.jpg,"Stellar dust in my boots. Just walking through the galaxy’s quiet hum—no map, just the pull of the unknown. #CosmicWalk",0
data\fakeV2\fake-v2\13496.png,"Rust and roses in the car’s quiet glow. Time’s a whisper, not a roar. #VintageDreams",0
data\real_fake\real\873.jpg,Storm clouds and golden light. Earth holds its breath. #SkyMagic,0
data\archive\real\1108958778030845953.jpg,#8/100 Allstarmarr BETTER LUCK NEXT TIME! Cassic (TPP) Squad-Frangel Rank #8 Players Defeated 4 Reward 378 Teammates 4536 EXP Total Rating +59 Survival Rating +5 Kill Rating +44 SuperBat2013 sleepingsunlol BATTLEGROUNDS 'G H TS PEER & QUANTUM,1
data\fakeV2\fake-v2\128.jpg,"Drops fall like starlight. I sit where sunbeams touch the water, quiet and whole.",0
data\archive\real\1056875690824478721.jpg,abc ACTION TRAFFIC DRIVE TIMES @TampaBayTraffic 29 VETERANS EXPRESSWAY VAN DYKE TO 275 MINUTES 29 DALE MABRY HIGHWAY VAN DYKE TO 275 MINUTES,1
data\real_fake\real\c6fi0vlgrz5a1.jpg,"Neon tears, shared breaths—love burns in shades we can’t name. Some moments just glow too bright to dim. 🌈",0
data\archive\real\1116935927652397056.jpg,TRC2 P THE GREAT VICTO R Y,1
data\real_fake\real\qovz53k9506a1.jpg,Silent snow. Church steeple watches the village sleep. #Winter,0
data\real_fake\real\13.jpg,"Blue ink whispers through the quiet. Some days, just the watercolor of stillness.",1
data\real_fake\real\2911.jpg,Cotton candy clouds & candy-coated paws—sweet dreams in pastel chaos. ✨ #SugarHigh,0
data\archive\real\1061812375844765697.jpg,A friend s what the ne hart needs all ne Heury an Dike BrainyQuote',1
data\archive\real\1024627418693283840.jpg,karup's,1
data\archive\real\1114919568559038464.jpg,SHAYA LA FIFA MFANA EPA,1
data\real_fake\real\s5oocnte7q5a1.jpg,"Colors don’t just blend—they wrestle, fold, and pulse beneath the frame. Where chaos finds its quiet rhythm. #TextureInColor",0
data\archive\real\1109534126753890306.jpg,BARBECUE OUNTRY MUS CRICA,1
data\archive\real\1063897497934929920.jpg,20:51 My cunt is so wet u can literally hear it as my fingers fuck it Tweet This 0 Send Tip,1
data\fakeV2\fake-v2\13913.png,Drowned gods in the blue. What dreams did the ocean swallow? #Mystery #Deep,0
data\fakeV2\fake-v2\11689.jpg,"Cross as prayer, gun as promise. Faith, redefined. #QuietStrength",0
data\archive\real\1114238600609259522.jpg,sky sports,1
data\archive\real\1041708608180772864.jpg,apple-on-a-fork,1
data\fakeV2\fake-v2\11902.jpg,Two eyes in the dark. The universe breathes its quiet hum. #CosmicGaze,0
data\archive\real\1109920107181080577.jpg,THEY HATE HIM SO MUCH BECAUSE HE IS WITIC THE FIRST PRESIDENT THEY CAN'T CONTROL,1
data\fakeV2\fake-v2\12200.jpg,"Her fingers trace the glow. Ancient wisdom, modern scroll.",0
data\fakeV2\fake-v2\11809.jpg,"Leap toward the light. Earth’s heartbeat thrums in the dome—green, alive, waiting. #HomeReborn",0
data\archive\real\1113881152870342661.jpg,3:08 Tweet Slugy Dee @Sluggmind 12m *proportioned n they overall better on 2k monie @EmonieMonaee 20h Unpopular opinion: tall women are more proportioned n overall look better twitter.com/craveable/sta. Show this thread 个 monie @EmonieMonaee 6m How u gone try n correct me n say the exact same shit I did Slugy Dee @Sluggmind Replying to @EmonieMonaee Someone come get this girl an English class 3:05 PM 4/4/19 Twitter for iPhone Tweet your reply,1
data\archive\real\1056776543308001281.jpg,PLAYING FROM ALBUM Under Pressure (Deluxe) ZaN lad Nikki Logic (11) LB Devices Available,1
data\real_fake\real\2202.jpg,"Pavement warm, buildings tall—city breathes easy. Tuesday’s gentle hum. #CityLife",0
data\real_fake\real\743.jpg,"Wind in my hair, horse’s breath on my neck—just me and this quiet morning. 🐴 #SunriseRide",1
data\fakeV2\fake-v2\10372.jpg,Silence in the servers. My pulse mirrors the grid’s hum. #TechSoul,0
data\real_fake\real\2200.jpg,"Sippin' coffee, people-watchin', sun warm on the back—Parisian summer feels like a happy accident. #EverydayMagic",0
data\fakeV2\fake-v2\10624.jpg,"Tom & Rita’s red carpet glow: all the charm, none of the fuss. 🌟",0
data\archive\real\1114213560207409152.jpg,"12:09 /www.amctheatres.com 63 Select Ticket TypeX arvel Studios: 22 HOVIE MARATHON Movie Marathon AMC RIVER EAST 21 I TUESDAY, APR 23, 2019 | 10:0O AM Movie Info If you're a member, sign in now to take advantage of AMC Stubs benefits. Sign In Discount Tuesdays savings will be shown on your order summary, if applicable. Adult 125.00 Child Age 2-12 $125.00 Continue",1
data\archive\real\1106579925916631041.jpg,Mic opinions,1
data\fakeV2\fake-v2\13093.jpg,Calm down!? I was perfectly fine until you said CALM DOWN. 😤 #Frustrated,0
data\fakeV2\fake-v2\14160.png,"New bodysuit, new commute. Parking spot? Who needs it. #Bodysuit",0
data\archive\real\1115752693203636224.jpg,MetroPCS LTE 6:04 PM DELUXE EDITION HER DVISORY 0:07 -4:17 Street E G Herbo-Humble Beast (Deluxe) 1),1
data\fakeV2\fake-v2\11662.jpg,"Red hair, crisp collar—every line a quiet vow. Still. Present. Always.",0
data\real_fake\real\1893.jpg,"Sunny day, world championship vibes—glad I showed up. #Champs",0
data\fakeV2\fake-v2\11349.jpg,Unicorn chemists turn beakers into stardust. Magic’s just science with a sparkle. #LabMagic,0
data\archive\real\1113913236955516931.jpg,DUELING BARRELS DISTILLERY 10 --のイ RINKMENU DRAFTS 16oz DUELING BARRELS BREWERY Pikeville Ale 8ig Sandy Cream Al Coal Porter Appalachian White Ale Hopfield & McCoy IPA. COCKTAILS Kentucky Mountain Mule.... S.0 ohnny Appleseed.8o $6.00 6.00 SPIRITS NEAT/ROCKS $5.00 TOWN BRANCH DISTILLERY TB Bourbon TB Rye Pearse Lyons Reserve TB Sherry Cask. TB Single Barrel Bourbon...$12.00 Pearse Lyons Reserve Single Barrel...$14.00 $7.00 $5.00 $6.00 $6.00 511.00 LEXINGTON BREWING CO Kentucky Kolscth $5.00 $8.00 8.00 ... Bourbon FB Bourbon Barrel Ale Blackberry Porter on Barrel Stout .$8.00 DUELING BARRELS DISTILLERY DB Original Moonshine DB Bonfire Moonshine DB Apple Orchard Moonshin$4.00 DB Mountain Flower Moonshine.$4.00 $4.00 $4.00 BOTTLES 12oz Pikeville Ale $4.00 $4.00 Bourbon Barrel Vanilla Ale Bourbon Barrel Ale PEARSE LYONS DISTILLERY Pearse Original Irish Whiskey..$5.00 Pearse Distiller's Choic Pearse Founder's Choic 7.00P MIXED DRINKS $9.00 .$12.00 TB Bourbon & Coke 6.00 ....$600 Pearse Cooper's Select.. Pearse 5 Year Irish Whiskey.14.00 TB Rye & Coke TB Rye & Ale8. TB Gin & Tonic..5.00 TB Gold Rum & Coke.... $5.00 Mountain Flower Moonshine & Tonic..$5.00 .$7.00 7.00 ODUELINGBARRELS DUELINGBARRELS.COM Original Moonshine & Cranberry..5.00,1
data\archive\real\1115456142702854144.jpg,NES&MORI . Events 50 Cent www.bn.com BARNES www.BNc,1
data\archive\real\1109676453589856256.jpg,GANGSTAAA,1
data\real_fake\real\2325.jpg,"A crown of roses, a breath held. Beauty in stillness. #VintageArt",0
data\real_fake\real\2768.jpg,"Salutes hold more weight than words. Duty’s quiet, but it echoes. #Respect",1
data\archive\real\1114172342282985472.jpg,09-34AM Mobb RepaMobb Røport Radia NOW PLAYING PLAYING NOW MBBMOBB REPORT RADIO ORT APP AVAILABLE NOW Available on the ANDROID APP ON Google play App Store MUSIC Mac Dre [002 fve Been D ICTLY FO Mae Ore (002 rve Been,1
data\archive\real\1113921582139887616.jpg,BORDER SECURITY A ICE ARRESTS 280 EMPLOYEES AT TEXAS N.COM BUSINESS FOR IMMIGRATION VIOLATIONS IGN MINISTERS IN WASHINGTON WITH AN APPEAL FOR UNITY TO CONFRONT WHAT HE DESC,1
data\fakeV2\fake-v2\14674.png,"Ride the dragon, not the road. Sky’s my garage. #WildRide",0
data\archive\real\1106621183309594628.jpg,2:19 1 Follow @Mayo_Yemi,1
data\fakeV2\fake-v2\13641.png,Silence where horns meet sky. Armor holds the mountains' weight. #Stillness,0
data\archive\real\1105836612498440192.jpg,ey StarKist Chunk Light TUNA In Water FRESHER TASTING & NO DRAINING,1
data\real_fake\real\2260.jpg,23. That door’s held my whole life. Still standing. #Home,0
data\fakeV2\fake-v2\14723.png,"Crown of thorns, heart of silence. The queen walks where no light dares to tread. #Ethereal #Silence",0
data\archive\real\1115730012802637830.jpg,Replying to dastoopid2 yeah my nigga,1
data\fakeV2\fake-v2\10457.jpg,Ironing on a taxi roof? City life’s got a weird side hustle. #citylife,0
data\archive\real\1063436265100582915.jpg,en ou ma ut you eople in eryone h,1
data\real_fake\real\akghcbjjrj5a1.jpg,Sunset spills pink and gold over the city. Concrete breathes under the sky’s painted sigh.,0
data\archive\real\1113546499676356609.jpg,Shoutout my coworkers today for being extremely entertaining,1
data\real_fake\real\872.jpg,"The earth’s calm is my favorite sound. Just me, the hills, the sky. #Peace",0
data\real_fake\real\2128.jpg,"Red jacket, calm inside. Ready to crush the day. #Focus",1
data\archive\real\1107575519929786370.jpg,relay,1
data\archive\real\1108866266394050561.jpg,ARDRI,1
data\archive\real\1107375306703134720.jpg,"yaeboywanny yaeboywanny started a live video dababy Charlotte, North Carolina dababydababydababy am",1
data\archive\real\1105544895236722688.jpg,SMITH SHO PROGRENIVE STEPHEN A SMITHso ATweet he Stephen A. Smith Show A@stephenasmith JU OPTEN NFLFA Browns to sign DT Sheldon Richardson CBASE: 13 LSU at Northwestern State Tonight 7ET EFT Deal is for 3 yrs $39M ($21M guaranteed),1
data\archive\real\1117433105130897409.jpg,REALLY?,1
data\archive\real\1114669485573668864.jpg,dis nigga,1
data\real_fake\real\2462.jpg,Sunlight and stillness—just needed this quiet. #Nature,0
data\fakeV2\fake-v2\14211.png,Shadows dance where light bends. This hood holds more than secrets—it’s a storm in velvet. #DarkElegance,0
data\fakeV2\fake-v2\11651.jpg,Goggles see what flesh forgot. Steel arms hold the weight of ancient vows. #SteelAndSoul,0
data\fakeV2\fake-v2\14637.png,Wish my wand worked—I’m casting spells to make fall leaves dance. 🍂,0
data\real_fake\real\912.jpg,Morning feels like a deep breath. Quiet and steady. #Peaceful,0
data\real_fake\real\1285.jpg,"Sharing plates, sharing laughs. Good vibes at the table—no fancy stuff, just real folks feeding each other. #Community",0
data\real_fake\real\2352.jpg,"Pink sky, floating rings—quiet days, soft and slow. #SoftDays",0
data\real_fake\real\265.jpg,"Sunny sidewalk, library steps, coffee. Just me and the town today. ☀️",1
data\archive\real\1105103205866893313.jpg,Shimza + Chymamusique # SOULFUL,1
data\real_fake\real\ns0cdnfn176a1.jpg,Color spills where silence lives. My sketchbook’s quiet rebellion. #art,0
data\fakeV2\fake-v2\13393.png,"Bear fans at the bar, jerseys on, beers cold. Team spirit’s the only thing bigger than these claws 🐻‍❄️ #GameDay",0
data\fakeV2\fake-v2\11967.jpg,Hands hold light. The room breathes in silent awe.,0
data\real_fake\real\2784.jpg,"Sunlight through the branches, leaves rustling. Just me, the quiet, and a moment to breathe. 🌿 #NatureBreak",1
data\archive\real\1114142242506145792.jpg,"""Republicans have had a thirty year run convincing stupid poor people looking to get rich, and morons terrified of other Americans taking their ""stuff"" that giving up everything they have to the wealthy will magically transform a dirt-poor imbecile into a billionaire, save Americans' liberty in the process, and teach the government who's boss."" - Krugmarn obe this Liberal Identity",1
data\archive\real\1115463477995425792.jpg,11:56 PM 18% Ell AT&T Taking Bets!!!! @GrizzleyJet 8:56 PM Are u willing to do $5 8:57 PM Sure 8:57 PM Bet I got Virginia 8:57 PM K good luck 8:59 PM Thanks? 9:05 PM Soo 11:44 PM Lol bruh 11:55 PM Start a message GIF 苞,1
data\fakeV2\fake-v2\14615.png,"Pulled up to the cart, grabbed a slice. Sun’s out, bread’s warm, life’s good. #StreetFood",0
data\fakeV2\fake-v2\14398.png,My robot butler serves tea… but the nanobots in my blood? Chills. #RobotMystery,0
data\fakeV2\fake-v2\12296.jpg,"Panda serving up joy at the food truck, kids lined up. Summer’s sweetest moments. 🌞 #FoodTruck",0
data\fakeV2\fake-v2\12153.jpg,"Brushstrokes breathe, light bends around the act. Painting isn't the image—it's the quiet hum of creation.",0
data\fakeV2\fake-v2\11211.jpg,Suffocating in the dark embrace. The ancient hunger never sleeps.,0
data\real_fake\real\p9plk9zfw76a1.jpg,"Cactus in bloom, skull on sand, scorpion curling. Desert’s whimsical sketch. #Art",0
data\fakeV2\fake-v2\14255.png,"Coffee’s not the only thing that’s slow in this room. Just me, the couch, and my thoughts. #QuietMoments",0
data\archive\real\1105287341873102848.jpg,Ellen ain't right CHAT,1
data\real_fake\real\3037.jpg,"Paris in the old days—coffee, laughter, and street life. Time feels right. #Café",1
data\fakeV2\fake-v2\13453.png,Thomas doesn’t fear the blaze—he rides the dawn’s first beam. 🌅 #Thomas,0
data\real_fake\real\274.jpg,"Sunny sidewalk, church steeple, coffee in hand. Another ordinary day feels quietly good. ☕ #SundayVibes",1
data\fakeV2\fake-v2\11788.jpg,"Sunset paints the sky gold as water sings its endless song. Time slows here—just stone, stream, and the world breathing slow. #NaturePulse",0
data\archive\real\1109553929157672960.jpg,BONG OL),1
data\real_fake\real\3113.jpg,"Pumpkin’s grin, witch’s broom—autumn’s magic in a splash of color. ✨",0
data\real_fake\real\1177.jpg,Just bit into an orange. Sunshine in my mouth. 🌞 #Simple,1
data\archive\real\1115362094583566336.jpg,"THIS TAKES ME BACK HAD A LOT OF FIRSTS UMS NEVİS, Kips. HERE. NEXT: STUATION Read more FREE comics on ReadComicOnline",1
data\fakeV2\fake-v2\13517.png,"Black and gold, always watching. City’s pulse in every stitch. #silentops #neoncity",0
data\fakeV2\fake-v2\12540.jpg,Getty bans AI-generated submissions now. Prior ones deleted. #Getty #AI,0
data\real_fake\real\llwnekpojl5a1.jpg,"Fist tight, knuckles white. Not rage, just the weight of what we hold onto. #Resilience",0
data\real_fake\real\1629.jpg,New soul in the mix. Let's vibe. 🌟 #CartoonVibes,0
data\fakeV2\fake-v2\12880.jpg,Sweater season is here. These DALL·E-generated holiday patterns? Absolute magic. 🎄 #christmas,0
data\fakeV2\fake-v2\11260.jpg,"The roar is the jungle’s heartbeat—raw, unbroken. This wild still breathes.",0
data\real_fake\real\823.jpg,"Mist drifts low, trees stand still. The lake holds the quiet. 🌫️",0
data\fakeV2\fake-v2\10238.jpg,Dust and fire rewrite the sky. Riders stand small against the earth’s breath.,0
data\fakeV2\fake-v2\10284.jpg,Where the Wild West meets the web. Sheriff Parker’s got the law and the dust. #WildWest,0
data\real_fake\real\1557.jpg,"Sunrise on the water, birds gliding. Just me and the quiet between the reeds.",0
data\fakeV2\fake-v2\14325.png,"Wheels turn, steam hisses—mountains watch as old iron dreams of motion. #VintageEngine #History",0
data\archive\real\1105503447460257792.jpg,Let me mind my own business.,1
data\fakeV2\fake-v2\12474.jpg,Caltharr Chefther’s gaze cuts deep. The Luth’s the ocean’s secret. 🌊,0
data\fakeV2\fake-v2\14751.png,"Sunshine on my neck, wind through my hair. Just me and the green. #SummerMorning",0
data\archive\real\1108793652225163264.jpg,Ireland deccers10 my brudda UP THE RA Wait Till We Draw England,1
data\fakeV2\fake-v2\14566.png,Steel and salt. We were here. #Viking,0
data\fakeV2\fake-v2\11322.jpg,"Mushroom cap, forest pig—nature’s gentle, quiet poem. 🌿",0
data\real_fake\real\935.jpg,"Golden hour on the ridge—clouds below, sky alive. 🌄 #Sunrise",0
data\fakeV2\fake-v2\13236.png,"Evening light spills on the sofa. Pots of green, a warm lamp—just right for quiet moments. #CozyEvening",0
data\archive\real\1107540790824325123.jpg,"all Verizon令 3:13 AM Tweet keke @biggiekee I WILL DEAD SLEEP AT YOUR HOUSE & NOT LET YOU FUCK 5:02 PM 3/17/19 Twitter for iPhone 536 Retweets 1,348 Likes MyNameJuneBug TM @mynameiune...-7h ﹀ Replying to @biggiekee You will be deadass on the street t217 1 more reply Dee Aug @og august 7h Replying to @biggiekee and @cassmonneyy You gon deadass be like this Tweet your reply",1
data\fakeV2\fake-v2\12820.jpg,"Poo Pools: cereal so fun, even my bowl’s laughing. 😂 #Cereal",0
data\fakeV2\fake-v2\13029.jpg,"Glowing armor, steady heart. Tomorrow’s not a question—it’s a mission I answer with my pulse.",0
data\real_fake\real\99kt7s19kq5a1.jpg,Alien eyes mirror the cosmos. This isn't art—it's the universe humming through me.,0
